labor_category_code,labor_category_description,zipcode,city,state,labor_item,labor_item_description,unit_permit_fee,omni_item_id,provider,vbu_number,created_by,created_timestamp,updated_by,updated_timestamp,old_price,county,municipality,est_permit_obtain_days
398,APPL - PREMIUM,53149,MUKWONAGO,WI,7513734,Permit Fee- Elec Walloven and CT,55,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WAUKESHA,DUMMY_VALUE,1
6,APPL - DISHWASHERS,53150,MUSKEGO,WI,161646,Permit and Processing Fee - Dish,60,5014818737,CRST HOME SOLUTIONS,86557,,2025-05-07T00:00,,,,WAUKESHA,DUMMY_VALUE,2
6,APPL - DISHWASHERS,53150,NEW BERLIN,WI,161646,Permit and Processing Fee - Dish,67,5014818737,CRST HOME SOLUTIONS,86557,,2025-05-07T00:00,,,,WAUKESHA,DUMMY_VALUE,2
3,APPL - ELEC COOKING (INLC TRASH COMP),53150,MUSKEGO,WI,227808,Permit and Processing Fee - Ecook,60,5014818701,CRST HOME SOLUTIONS,86557,,,,,,WAUKESHA,DUMMY_VALUE,1
398,APPL - PREMIUM,53150,MUSKEGO,WI,806280,Permit Fee - Dishwasher,60,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WAUKESHA,DUMMY_VALUE,2
398,APPL - PREMIUM,53150,NEW BERLIN,WI,806280,Permit Fee - Dishwasher,67,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WAUKESHA,DUMMY_VALUE,2
398,APPL - PREMIUM,53150,MUSKEGO,WI,7513734,Permit Fee- Elec Walloven and CT,60,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WAUKESHA,DUMMY_VALUE,1
6,APPL - DISHWASHERS,53151,NEW BERLIN,WI,161646,Permit and Processing Fee - Dish,67,5014818737,CRST HOME SOLUTIONS,86557,,2025-05-07T00:00,,,,WAUKESHA,DUMMY_VALUE,2
3,APPL - ELEC COOKING (INLC TRASH COMP),53151,NEW BERLIN,WI,227808,Permit and Processing Fee - Ecook,45,5014818701,CRST HOME SOLUTIONS,86557,,,,,,WAUKESHA,DUMMY_VALUE,1
398,APPL - PREMIUM,53151,NEW BERLIN,WI,806280,Permit Fee - Dishwasher,67,5002389441,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WAUKESHA,DUMMY_VALUE,2
398,APPL - PREMIUM,53151,NEW BERLIN,WI,7513734,Permit Fee- Elec Walloven and CT,45,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WAUKESHA,DUMMY_VALUE,1
3,APPL - ELEC COOKING (INLC TRASH COMP),53153,NORTH PRAIRIE,WI,227808,Permit and Processing Fee - Ecook,50,5014818701,CRST HOME SOLUTIONS,86557,,,,,,WAUKESHA,DUMMY_VALUE,1
398,APPL - PREMIUM,53153,NORTH PRAIRIE,WI,7513734,Permit Fee- Elec Walloven and CT,50,5016941245,CRST HOME SOLUTIONS,86557,,2025-10-15T00:00,,,,WAUKESHA,DUMMY_VALUE,1
6,APPL - DISHWASHERS,53154,OAK CREEK,WI,161646,Permit and Processing Fee - Dish,30,5014818737,CRST HOME SOLUTIONS,86557,,2025-05-08T00:00,,,,MILWAUKEE,DUMMY_VALUE,4
